2020-11-21T07:29:05.611Z,ZInitializing Gyro
2020-11-21T07:29:05.643Z,Testing Gyro connections...
2020-11-21T07:29:05.675Z,Gyro connection successful
2020-11-21T07:29:05.707Z,Calibration ACCELERO...
2020-11-21T07:29:10.406Z,-0.00,-0.00
2020-11-21T07:29:10.413Z,0.00,-0.00
2020-11-21T07:29:10.428Z,0.01,-0.00
2020-11-21T07:29:10.444Z,0.00,0.00
2020-11-21T07:29:10.445Z,-0.00,-0.00
2020-11-21T07:29:10.460Z,-0.00,0.00
2020-11-21T07:29:10.476Z,-0.01,0.01
2020-11-21T07:29:10.492Z,0.00,-0.00
2020-11-21T07:29:10.508Z,-0.00,-0.01
2020-11-21T07:29:10.509Z,-0.00,-0.00
2020-11-21T07:29:10.524Z,-0.00,0.01
2020-11-21T07:29:10.540Z,0.00,-0.01
2020-11-21T07:29:10.556Z,-0.00,-0.01
2020-11-21T07:29:10.572Z,-0.00,0.00
2020-11-21T07:29:10.588Z,-0.00,-0.00
2020-11-21T07:29:10.596Z,-0.00,-0.00
2020-11-21T07:29:10.604Z,0.00,-0.00
2020-11-21T07:29:10.620Z,-0.00,0.00
2020-11-21T07:29:10.636Z,0.00,-0.00
2020-11-21T07:29:10.652Z,-0.00,-0.00
2020-11-21T07:29:10.657Z,-0.00,0.00
2020-11-21T07:29:10.668Z,-0.00,0.00
2020-11-21T07:29:10.684Z,-0.00,0.00
2020-11-21T07:29:10.700Z,0.00,-0.00
2020-11-21T07:29:10.716Z,-0.00,-0.00
2020-11-21T07:29:10.723Z,-0.00,0.00
2020-11-21T07:29:10.732Z,0.00,0.00
2020-11-21T07:29:10.748Z,0.01,-0.00
2020-11-21T07:29:10.763Z,0.00,0.00
2020-11-21T07:29:10.764Z,0.00,-0.00
2020-11-21T07:29:10.779Z,0.00,-0.01
2020-11-21T07:29:10.795Z,-0.00,0.01
2020-11-21T07:29:10.811Z,0.00,0.00
2020-11-21T07:29:10.812Z,-0.00,0.00
2020-11-21T07:29:10.827Z,0.00,0.00
2020-11-21T07:29:10.843Z,0.00,-0.00
2020-11-21T07:29:10.859Z,-0.00,-0.00
2020-11-21T07:29:10.875Z,0.00,0.00
2020-11-21T07:29:10.876Z,0.00,-0.00
2020-11-21T07:29:10.891Z,0.00,0.00
2020-11-21T07:29:10.908Z,0.00,0.00
2020-11-21T07:29:10.923Z,-0.00,0.00
2020-11-21T07:29:10.924Z,-0.00,0.00
2020-11-21T07:29:10.939Z,0.00,-0.00
2020-11-21T07:29:10.955Z,-0.00,0.01
2020-11-21T07:29:10.971Z,0.00,0.00
2020-11-21T07:29:10.974Z,-0.00,0.00
2020-11-21T07:29:10.987Z,-0.00,-0.00
2020-11-21T07:29:11.003Z,-0.00,0.00
2020-11-21T07:29:11.019Z,-0.00,0.00
2020-11-21T07:29:11.035Z,-0.00,0.00
2020-11-21T07:29:11.041Z,-0.00,0.01
2020-11-21T07:29:11.051Z,0.00,-0.00
2020-11-21T07:29:11.067Z,0.00,0.00
2020-11-21T07:29:11.083Z,0.00,-0.00
2020-11-21T07:29:11.099Z,-0.00,-0.00
2020-11-21T07:29:11.106Z,-0.00,-0.00
2020-11-21T07:29:11.114Z,0.00,-0.00
2020-11-21T07:29:11.130Z,-0.00,0.00
2020-11-21T07:29:11.146Z,0.01,-0.01
2020-11-21T07:29:11.162Z,-0.00,0.00
2020-11-21T07:29:11.163Z,0.00,-0.00
2020-11-21T07:29:11.178Z,-0.00,0.00
2020-11-21T07:29:11.194Z,0.00,0.00
2020-11-21T07:29:11.210Z,-0.00,-0.00
2020-11-21T07:29:11.211Z,-0.00,0.00
2020-11-21T07:29:11.226Z,0.00,-0.01
2020-11-21T07:29:11.242Z,-0.00,0.00
2020-11-21T07:29:11.258Z,-0.00,-0.00
2020-11-21T07:29:11.274Z,-0.00,0.00
2020-11-21T07:29:11.275Z,-0.00,0.00
2020-11-21T07:29:11.290Z,-0.00,-0.00
2020-11-21T07:29:11.306Z,-0.00,-0.00
2020-11-21T07:29:11.322Z,-0.00,-0.00
2020-11-21T07:29:11.338Z,0.00,0.00
2020-11-21T07:29:11.354Z,-0.00,-0.01
2020-11-21T07:29:11.356Z,0.00,0.00
2020-11-21T07:29:11.370Z,0.00,-0.00
2020-11-21T07:29:11.386Z,0.00,0.01
2020-11-21T07:29:11.402Z,0.00,-0.00
2020-11-21T07:29:11.407Z,0.00,0.00
2020-11-21T07:29:11.418Z,-0.00,-0.00
2020-11-21T07:29:11.434Z,-0.00,-0.00
2020-11-21T07:29:11.449Z,0.00,-0.01
2020-11-21T07:29:11.467Z,-0.00,0.00
2020-11-21T07:29:11.474Z,-0.00,-0.00
2020-11-21T07:29:11.481Z,-0.00,-0.00
2020-11-21T07:29:11.497Z,-0.00,0.00
2020-11-21T07:29:11.513Z,-0.00,0.00
2020-11-21T07:29:11.529Z,-0.00,-0.00
2020-11-21T07:29:11.545Z,-0.00,-0.00
2020-11-21T07:29:11.546Z,-0.00,0.00
2020-11-21T07:29:11.561Z,-0.00,-0.00
2020-11-21T07:29:11.577Z,0.00,-0.00
2020-11-21T07:29:11.593Z,0.00,0.00
2020-11-21T07:29:11.594Z,-0.00,0.01
2020-11-21T07:29:11.609Z,0.01,-0.01
2020-11-21T07:29:11.625Z,-0.00,-0.00
2020-11-21T07:29:11.641Z,0.00,-0.00
2020-11-21T07:29:11.657Z,-0.00,0.00
2020-11-21T07:29:11.658Z,0.00,0.00
2020-11-21T07:29:11.673Z,-0.00,0.00
2020-11-21T07:29:11.689Z,-0.00,0.00
2020-11-21T07:29:11.705Z,-0.00,-0.00
2020-11-21T07:29:11.721Z,0.00,0.00
2020-11-21T07:29:11.724Z,-0.00,-0.01
2020-11-21T07:29:11.737Z,-0.00,-0.00
2020-11-21T07:29:11.753Z,-0.00,0.00
2020-11-21T07:29:11.769Z,0.00,-0.00
2020-11-21T07:29:11.784Z,0.00,0.00
2020-11-21T07:29:11.791Z,0.00,0.00
2020-11-21T07:29:11.800Z,-0.00,0.00
2020-11-21T07:29:11.816Z,0.00,-0.00
2020-11-21T07:29:11.833Z,-0.00,0.00
2020-11-21T07:29:11.842Z,-0.00,0.00
2020-11-21T07:29:11.848Z,-0.00,0.00
2020-11-21T07:29:11.864Z,0.00,-0.00
2020-11-21T07:29:11.880Z,-0.00,-0.00
2020-11-21T07:29:11.896Z,-0.00,-0.01
2020-11-21T07:29:11.912Z,-0.00,-0.00
2020-11-21T07:29:11.913Z,-0.00,0.00
2020-11-21T07:29:11.940Z,0.00,0.00
2020-11-21T07:29:11.945Z,0.00,0.00
2020-11-21T07:29:11.960Z,-0.00,0.00
2020-11-21T07:29:11.964Z,0.00,-0.00
2020-11-21T07:29:11.976Z,0.00,-0.00
2020-11-21T07:29:11.994Z,-0.00,-0.00
2020-11-21T07:29:12.008Z,-0.00,-0.00
2020-11-21T07:29:12.024Z,-0.01,0.00
2020-11-21T07:29:12.025Z,0.00,0.00
2020-11-21T07:29:12.040Z,0.00,0.01
2020-11-21T07:29:12.056Z,0.00,0.01
2020-11-21T07:29:12.056Z,0.00,0.00
2020-11-21T07:29:12.072Z,0.00,0.00
2020-11-21T07:29:12.087Z,-0.00,0.00
2020-11-21T07:29:12.105Z,0.00,0.00
2020-11-21T07:29:12.119Z,-0.00,0.00
2020-11-21T07:29:12.123Z,0.00,-0.00
2020-11-21T07:29:12.136Z,-0.00,0.00
2020-11-21T07:29:12.151Z,-0.00,-0.00
2020-11-21T07:29:12.167Z,-0.00,-0.00
2020-11-21T07:29:12.183Z,-0.00,-0.00
2020-11-21T07:29:12.190Z,0.00,-0.00
2020-11-21T07:29:12.199Z,-0.00,-0.00
2020-11-21T07:29:12.216Z,0.00,0.00
2020-11-21T07:29:12.231Z,-0.00,0.00
2020-11-21T07:29:12.247Z,-0.00,0.01
2020-11-21T07:29:12.248Z,0.00,0.00
2020-11-21T07:29:12.263Z,0.00,0.01
2020-11-21T07:29:12.279Z,0.00,-0.00
2020-11-21T07:29:12.295Z,0.00,0.00
2020-11-21T07:29:12.295Z,0.00,-0.00
2020-11-21T07:29:12.311Z,-0.00,0.00
2020-11-21T07:29:12.327Z,-0.00,0.00
2020-11-21T07:29:12.343Z,-0.00,0.00
2020-11-21T07:29:12.343Z,0.00,0.00
2020-11-21T07:29:12.359Z,0.00,0.00
2020-11-21T07:29:12.375Z,-0.00,0.00
2020-11-21T07:29:12.391Z,0.00,0.01
2020-11-21T07:29:12.391Z,-0.01,0.00
2020-11-21T07:29:12.407Z,-0.01,0.00
2020-11-21T07:29:12.423Z,-0.00,-0.00
2020-11-21T07:29:12.439Z,-0.00,0.00
2020-11-21T07:29:12.454Z,-0.00,-0.01
2020-11-21T07:29:12.457Z,0.00,-0.00
2020-11-21T07:29:12.470Z,-0.00,-0.00
2020-11-21T07:29:12.486Z,-0.00,0.01
2020-11-21T07:29:12.502Z,0.00,0.01
2020-11-21T07:29:12.518Z,0.00,0.01
2020-11-21T07:29:12.523Z,0.00,0.00
2020-11-21T07:29:12.534Z,-0.00,0.00
2020-11-21T07:29:12.550Z,-0.00,0.00
2020-11-21T07:29:12.566Z,0.00,0.00
2020-11-21T07:29:12.573Z,-0.00,0.00
2020-11-21T07:29:12.582Z,-0.00,-0.00
2020-11-21T07:29:12.598Z,-0.00,-0.00
2020-11-21T07:29:12.614Z,0.01,-0.00
2020-11-21T07:29:12.630Z,-0.00,0.01
2020-11-21T07:29:12.630Z,-0.00,0.00
2020-11-21T07:29:12.646Z,0.00,-0.00
2020-11-21T07:29:12.662Z,-0.00,0.00
2020-11-21T07:29:12.678Z,0.00,-0.01
2020-11-21T07:29:12.694Z,-0.00,0.00
2020-11-21T07:29:12.694Z,-0.00,-0.01
2020-11-21T07:29:12.710Z,0.00,-0.00
2020-11-21T07:29:12.726Z,0.00,0.00
2020-11-21T07:29:12.741Z,-0.00,0.00
2020-11-21T07:29:12.742Z,-0.00,0.00
2020-11-21T07:29:12.758Z,0.01,0.00
2020-11-21T07:29:12.774Z,-0.00,0.00
2020-11-21T07:29:12.789Z,0.00,0.00
2020-11-21T07:29:12.805Z,-0.00,-0.00
2020-11-21T07:29:12.806Z,0.00,0.00
2020-11-21T07:29:12.821Z,0.00,-0.00
2020-11-21T07:29:12.837Z,-0.00,-0.01
2020-11-21T07:29:12.853Z,-0.00,0.01
2020-11-21T07:29:12.869Z,-0.00,-0.00
2020-11-21T07:29:12.873Z,0.00,0.00
2020-11-21T07:29:12.885Z,0.00,0.01
2020-11-21T07:29:12.901Z,-0.00,-0.00
2020-11-21T07:29:12.917Z,-0.01,-0.00
2020-11-21T07:29:12.922Z,0.00,-0.00
2020-11-21T07:29:12.933Z,0.00,-0.00
2020-11-21T07:29:12.950Z,0.01,-0.00
2020-11-21T07:29:12.965Z,0.00,0.00
2020-11-21T07:29:12.981Z,-0.00,-0.00
2020-11-21T07:29:12.981Z,-0.00,0.00
2020-11-21T07:29:12.997Z,-0.00,0.01
2020-11-21T07:29:13.013Z,-0.00,-0.00
2020-11-21T07:29:13.029Z,-0.01,-0.00
2020-11-21T07:29:13.045Z,-0.00,-0.00
2020-11-21T07:29:13.045Z,-0.00,0.00
2020-11-21T07:29:13.061Z,-0.00,0.00
2020-11-21T07:29:13.076Z,0.00,-0.00
2020-11-21T07:29:13.092Z,0.00,0.00
2020-11-21T07:29:13.108Z,0.00,-0.00
2020-11-21T07:29:13.109Z,0.00,-0.00
2020-11-21T07:29:13.124Z,0.00,-0.00
2020-11-21T07:29:13.140Z,-0.01,-0.01
2020-11-21T07:29:13.156Z,-0.00,-0.00
2020-11-21T07:29:13.173Z,-0.00,0.00
2020-11-21T07:29:13.174Z,-0.00,-0.00
2020-11-21T07:29:13.188Z,-0.00,-0.00
2020-11-21T07:29:13.204Z,0.00,-0.00
2020-11-21T07:29:13.220Z,0.01,-0.00
