2020-11-20T06:45:05.774Z,�Initializing Gyro
2020-11-20T06:45:05.807Z,Testing Gyro connections...
2020-11-20T06:45:05.875Z,Gyro connection successful
2020-11-20T06:45:05.972Z,Calibration ACCELERO...
2020-11-20T06:45:11.610Z,-0.00,0.00
2020-11-20T06:45:11.617Z,-0.00,0.00
2020-11-20T06:45:11.635Z,0.00,0.00
2020-11-20T06:45:11.643Z,0.00,-0.00
2020-11-20T06:45:11.651Z,-0.01,-0.00
2020-11-20T06:45:11.660Z,-0.00,0.01
2020-11-20T06:45:11.661Z,-0.00,0.00
2020-11-20T06:45:11.662Z,0.00,0.01
2020-11-20T06:45:11.670Z,-0.00,0.00
2020-11-20T06:45:11.685Z,-0.00,-0.00
2020-11-20T06:45:11.693Z,-0.00,0.00
2020-11-20T06:45:11.694Z,-0.00,0.00
2020-11-20T06:45:11.695Z,-0.00,0.00
2020-11-20T06:45:11.695Z,0.00,-0.00
2020-11-20T06:45:11.696Z,-0.00,0.00
2020-11-20T06:45:11.697Z,-0.00,-0.00
2020-11-20T06:45:11.710Z,-0.00,0.01
2020-11-20T06:45:11.713Z,0.00,-0.00
2020-11-20T06:45:11.728Z,0.00,-0.00
2020-11-20T06:45:11.729Z,-0.00,0.01
2020-11-20T06:45:11.730Z,0.00,-0.00
2020-11-20T06:45:11.731Z,-0.00,0.00
2020-11-20T06:45:11.735Z,0.00,0.00
2020-11-20T06:45:11.744Z,0.00,0.00
2020-11-20T06:45:11.745Z,0.00,0.00
2020-11-20T06:45:11.746Z,0.00,0.00
2020-11-20T06:45:11.752Z,-0.00,0.00
2020-11-20T06:45:11.884Z,-0.00,0.01
2020-11-20T06:45:11.896Z,-0.00,-0.00
2020-11-20T06:45:11.926Z,-0.00,-0.00
2020-11-20T06:45:11.937Z,-0.00,0.00
2020-11-20T06:45:11.946Z,0.00,0.01
2020-11-20T06:45:12.010Z,0.00,0.00
2020-11-20T06:45:12.029Z,0.00,-0.00
2020-11-20T06:45:12.036Z,-0.00,-0.00
2020-11-20T06:45:12.043Z,-0.00,0.00
2020-11-20T06:45:12.046Z,0.00,0.00
2020-11-20T06:45:12.059Z,-0.00,0.01
2020-11-20T06:45:12.069Z,0.00,0.00
2020-11-20T06:45:12.077Z,0.00,0.00
2020-11-20T06:45:12.077Z,-0.00,-0.00
