2020-11-19T11:32:08.464Z,3Initializing Gyro
2020-11-19T11:32:08.496Z,Testing Gyro connections...
2020-11-19T11:32:08.528Z,Gyro connection successful
2020-11-19T11:32:08.560Z,Calibration ACCELERO...
2020-11-19T11:32:14.158Z,-0.06,0.56
2020-11-19T11:32:14.161Z,-0.05,0.56
2020-11-19T11:32:14.174Z,-0.05,0.56
2020-11-19T11:32:14.190Z,-0.06,0.56
2020-11-19T11:32:14.207Z,-0.06,0.56
2020-11-19T11:32:14.207Z,-0.05,0.56
2020-11-19T11:32:14.222Z,-0.05,0.55
2020-11-19T11:32:14.238Z,-0.05,0.56
2020-11-19T11:32:14.254Z,-0.05,0.55
2020-11-19T11:32:14.270Z,-0.05,0.56
2020-11-19T11:32:14.270Z,-0.06,0.56
2020-11-19T11:32:14.286Z,-0.05,0.56
2020-11-19T11:32:14.302Z,-0.05,0.56
2020-11-19T11:32:14.318Z,-0.06,0.56
2020-11-19T11:32:14.334Z,-0.05,0.57
2020-11-19T11:32:14.334Z,-0.05,0.56
2020-11-19T11:32:14.350Z,-0.05,0.55
2020-11-19T11:32:14.366Z,-0.05,0.56
2020-11-19T11:32:14.382Z,-0.05,0.56
2020-11-19T11:32:14.382Z,-0.05,0.55
2020-11-19T11:32:14.398Z,-0.06,0.55
2020-11-19T11:32:14.414Z,-0.06,0.56
2020-11-19T11:32:14.430Z,-0.05,0.56
2020-11-19T11:32:14.446Z,-0.05,0.56
2020-11-19T11:32:14.446Z,-0.05,0.56
2020-11-19T11:32:14.462Z,-0.05,0.56
2020-11-19T11:32:14.477Z,-0.05,0.56
2020-11-19T11:32:14.493Z,-0.05,0.56
2020-11-19T11:32:14.510Z,-0.05,0.56
2020-11-19T11:32:14.511Z,-0.06,0.56
2020-11-19T11:32:14.525Z,-0.06,0.56
2020-11-19T11:32:14.541Z,-0.06,0.56
2020-11-19T11:32:14.558Z,-0.05,0.55
2020-11-19T11:32:14.561Z,-0.05,0.56
2020-11-19T11:32:14.573Z,-0.05,0.56
2020-11-19T11:32:14.589Z,-0.05,0.57
2020-11-19T11:32:14.605Z,-0.05,0.56
2020-11-19T11:32:14.621Z,-0.05,0.57
2020-11-19T11:32:14.621Z,-0.06,0.56
2020-11-19T11:32:14.637Z,-0.06,0.57
2020-11-19T11:32:14.653Z,-0.05,0.56
2020-11-19T11:32:14.669Z,-0.06,0.56
2020-11-19T11:32:14.685Z,-0.06,0.57
2020-11-19T11:32:14.685Z,-0.05,0.57
2020-11-19T11:32:14.701Z,-0.05,0.56
2020-11-19T11:32:14.717Z,-0.05,0.57
2020-11-19T11:32:14.733Z,-0.05,0.57
2020-11-19T11:32:14.733Z,-0.05,0.57
2020-11-19T11:32:14.749Z,-0.06,0.57
2020-11-19T11:32:14.765Z,-0.06,0.57
2020-11-19T11:32:14.781Z,-0.05,0.57
2020-11-19T11:32:14.797Z,-0.06,0.57
2020-11-19T11:32:14.797Z,-0.05,0.57
2020-11-19T11:32:14.812Z,-0.05,0.55
2020-11-19T11:32:14.828Z,-0.05,0.54
