2020-11-19T11:18:07.921Z,���Initializing Gyro
2020-11-19T11:18:07.953Z,Testing Gyro connections...
2020-11-19T11:18:07.985Z,Gyro connection successful
2020-11-19T11:18:08.017Z,Calibration ACCELERO...
2020-11-19T11:18:12.915Z,0.00,-0.00
2020-11-19T11:18:12.922Z,-0.00,0.00
2020-11-19T11:18:12.931Z,-0.00,-0.00
2020-11-19T11:18:12.947Z,-0.00,-0.01
2020-11-19T11:18:12.963Z,-0.00,0.01
2020-11-19T11:18:12.979Z,-0.00,0.00
2020-11-19T11:18:12.995Z,-0.00,-0.00
2020-11-19T11:18:12.995Z,-0.00,0.01
2020-11-19T11:18:13.010Z,0.00,0.00
2020-11-19T11:18:13.026Z,0.00,0.01
2020-11-19T11:18:13.042Z,0.00,0.00
2020-11-19T11:18:13.043Z,0.00,-0.00
2020-11-19T11:18:13.058Z,-0.00,0.01
2020-11-19T11:18:13.074Z,-0.00,-0.00
2020-11-19T11:18:13.090Z,-0.00,-0.00
2020-11-19T11:18:13.106Z,0.00,-0.00
2020-11-19T11:18:13.107Z,0.00,0.00
2020-11-19T11:18:13.122Z,0.00,0.01
2020-11-19T11:18:13.143Z,0.00,-0.00
2020-11-19T11:18:13.166Z,-0.01,0.00
2020-11-19T11:18:13.167Z,-0.00,0.00
2020-11-19T11:18:13.170Z,0.00,-0.01
2020-11-19T11:18:13.186Z,0.00,-0.00
2020-11-19T11:18:13.202Z,-0.00,0.00
2020-11-19T11:18:13.218Z,-0.00,0.00
2020-11-19T11:18:13.222Z,0.00,-0.00
2020-11-19T11:18:13.234Z,-0.00,0.00
2020-11-19T11:18:13.250Z,0.00,0.00
2020-11-19T11:18:13.266Z,0.00,0.00
2020-11-19T11:18:13.273Z,-0.00,-0.00
2020-11-19T11:18:13.282Z,-0.00,0.00
2020-11-19T11:18:13.298Z,-0.00,0.00
2020-11-19T11:18:13.314Z,-0.00,0.00
2020-11-19T11:18:13.329Z,-0.00,-0.00
2020-11-19T11:18:13.330Z,0.00,-0.01
2020-11-19T11:18:13.346Z,0.00,-0.00
2020-11-19T11:18:13.361Z,0.00,0.00
2020-11-19T11:18:13.377Z,0.00,-0.00
2020-11-19T11:18:13.378Z,-0.00,0.00
2020-11-19T11:18:13.393Z,0.00,-0.00
2020-11-19T11:18:13.409Z,0.00,-0.00
2020-11-19T11:18:13.425Z,0.00,0.00
2020-11-19T11:18:13.441Z,-0.00,-0.00
2020-11-19T11:18:13.442Z,0.00,0.00
2020-11-19T11:18:13.457Z,0.00,0.00
2020-11-19T11:18:13.473Z,0.00,0.00
2020-11-19T11:18:13.490Z,0.00,-0.00
2020-11-19T11:18:13.493Z,-0.00,-0.00
2020-11-19T11:18:13.505Z,0.00,0.00
2020-11-19T11:18:13.521Z,0.00,0.00
2020-11-19T11:18:13.537Z,0.00,-0.01
2020-11-19T11:18:13.541Z,0.00,-0.01
2020-11-19T11:18:13.553Z,0.00,-0.00
2020-11-19T11:18:13.569Z,0.00,0.00
2020-11-19T11:18:13.585Z,-0.01,-0.01
2020-11-19T11:18:13.601Z,-0.00,-0.00
2020-11-19T11:18:13.606Z,0.00,-0.00
2020-11-19T11:18:13.617Z,-0.00,0.00
2020-11-19T11:18:13.633Z,-0.00,-0.00
2020-11-19T11:18:13.649Z,-0.00,-0.00
2020-11-19T11:18:13.665Z,0.00,0.00
2020-11-19T11:18:13.673Z,-0.00,-0.00
2020-11-19T11:18:13.680Z,-0.00,0.00
2020-11-19T11:18:13.696Z,-0.00,0.00
2020-11-19T11:18:13.712Z,-0.00,-0.00
2020-11-19T11:18:13.728Z,0.00,0.00
2020-11-19T11:18:13.729Z,0.00,-0.00
2020-11-19T11:18:13.744Z,-0.00,-0.00
2020-11-19T11:18:13.760Z,0.00,-0.00
2020-11-19T11:18:13.776Z,0.00,0.00
2020-11-19T11:18:13.792Z,0.00,-0.00
2020-11-19T11:18:13.793Z,-0.00,-0.00
2020-11-19T11:18:13.808Z,-0.00,0.00
2020-11-19T11:18:13.824Z,-0.00,-0.01
2020-11-19T11:18:13.840Z,-0.00,0.00
2020-11-19T11:18:13.856Z,-0.01,-0.00
2020-11-19T11:18:13.857Z,0.00,0.00
2020-11-19T11:18:13.872Z,-0.00,0.01
2020-11-19T11:18:13.888Z,-0.00,0.00
2020-11-19T11:18:13.904Z,0.00,-0.00
2020-11-19T11:18:13.920Z,0.00,-0.01
2020-11-19T11:18:13.922Z,0.00,0.00
2020-11-19T11:18:13.936Z,0.00,-0.01
2020-11-19T11:18:13.952Z,0.00,0.00
2020-11-19T11:18:13.968Z,-0.00,-0.00
2020-11-19T11:18:13.973Z,0.00,0.00
2020-11-19T11:18:13.984Z,-0.00,0.01
2020-11-19T11:18:14.000Z,-0.00,-0.00
2020-11-19T11:18:14.015Z,0.00,0.00
2020-11-19T11:18:14.031Z,-0.01,-0.00
2020-11-19T11:18:14.039Z,-0.00,-0.00
2020-11-19T11:18:14.047Z,0.00,-0.00
2020-11-19T11:18:14.063Z,-0.00,-0.00
2020-11-19T11:18:14.079Z,0.00,0.00
2020-11-19T11:18:14.095Z,-0.00,0.00
2020-11-19T11:18:14.096Z,0.00,-0.00
2020-11-19T11:18:14.116Z,-0.00,-0.00
2020-11-19T11:18:14.127Z,-0.00,-0.00
2020-11-19T11:18:14.143Z,-0.00,0.00
2020-11-19T11:18:14.159Z,0.00,0.00
2020-11-19T11:18:14.159Z,0.00,0.00
2020-11-19T11:18:14.175Z,0.01,-0.00
2020-11-19T11:18:14.191Z,-0.00,-0.00
2020-11-19T11:18:14.207Z,0.00,0.00
2020-11-19T11:18:14.207Z,0.00,-0.00
2020-11-19T11:18:14.223Z,-0.00,0.00
2020-11-19T11:18:14.239Z,0.00,-0.01
2020-11-19T11:18:14.255Z,-0.00,0.01
2020-11-19T11:18:14.271Z,-0.00,-0.00
2020-11-19T11:18:14.274Z,0.00,0.00
2020-11-19T11:18:14.287Z,-0.01,-0.00
2020-11-19T11:18:14.305Z,0.00,-0.00
2020-11-19T11:18:14.319Z,0.00,0.00
2020-11-19T11:18:14.335Z,-0.00,-0.00
2020-11-19T11:18:14.341Z,-0.00,0.00
2020-11-19T11:18:14.350Z,-0.00,-0.01
2020-11-19T11:18:14.367Z,-0.00,-0.01
2020-11-19T11:18:14.382Z,0.00,-0.00
2020-11-19T11:18:14.398Z,-0.00,-0.00
2020-11-19T11:18:14.407Z,-0.00,0.00
2020-11-19T11:18:14.414Z,-0.00,-0.00
2020-11-19T11:18:14.430Z,0.00,-0.00
2020-11-19T11:18:14.446Z,0.00,0.00
2020-11-19T11:18:14.447Z,0.00,0.00
2020-11-19T11:18:14.462Z,-0.00,-0.00
2020-11-19T11:18:14.478Z,-0.00,-0.01
2020-11-19T11:18:14.494Z,0.00,-0.00
2020-11-19T11:18:14.510Z,-0.00,0.00
2020-11-19T11:18:14.526Z,-0.00,-0.00
2020-11-19T11:18:14.527Z,-0.00,-0.00
2020-11-19T11:18:14.542Z,0.00,0.01
2020-11-19T11:18:14.558Z,0.01,-0.00
2020-11-19T11:18:14.574Z,0.00,0.01
2020-11-19T11:18:14.575Z,0.00,0.00
2020-11-19T11:18:14.590Z,0.00,0.00
2020-11-19T11:18:14.606Z,0.00,0.00
2020-11-19T11:18:14.622Z,-0.00,0.00
2020-11-19T11:18:14.623Z,-0.00,-0.00
2020-11-19T11:18:14.638Z,-0.01,-0.00
2020-11-19T11:18:14.654Z,-0.00,-0.00
2020-11-19T11:18:14.670Z,-0.00,-0.00
2020-11-19T11:18:14.686Z,-0.00,-0.00
