timestamp,x,z
14:02:25:819,-0.062,-0.034
14:02:25:850,-0.083,-0.017
14:02:25:881,-0.093,-0.016
14:02:25:914,-0.004,-0.062
14:02:25:947,-0.01,0.014
14:02:25:978,-0.14,0.023
14:02:26:009,-0.027,-0.009
14:02:26:042,-0.013,-0.017
14:02:26:069,0.185,-0.229
14:02:26:100,0.436,-0.653
14:02:26:131,0.52,-0.228
14:02:26:164,0.236,-0.399
14:02:26:198,0.028,-0.181
14:02:26:229,0.043,-0.022
14:02:26:260,0.258,-0.088
14:02:26:293,-0.001,-0.029
14:02:26:320,-0.088,0.006
14:02:26:351,0.011,-0.061
14:02:26:382,0.139,0.007
14:02:26:415,0.076,-0.008
14:02:26:448,-0.132,-0.051
14:02:26:479,0.061,-0.012
14:02:26:510,0.115,-0.056
14:02:26:543,-0.034,-0.066
14:02:26:570,-0.076,-0.082
14:02:26:601,0.009,-0.022
14:02:26:632,0.092,-0.062
14:02:26:665,0.007,-0.039
14:02:26:698,-0.088,-0.106
14:02:26:729,0.103,-0.075
14:02:26:760,0.093,-0.102
14:02:26:792,-0.068,-0.08
14:02:26:819,-0.01,-0.072
14:02:26:850,-0.014,-0.063
14:02:26:881,-0.154,-0.041
14:02:26:914,-0.51,0.014
14:02:26:947,-0.311,-0.168
14:02:26:978,-0.009,-0.073
14:02:27:009,0.007,-0.104
14:02:27:042,-0.129,-0.157
14:02:27:069,-0.072,-0.175
14:02:27:100,0.022,-0.093
14:02:27:131,0.111,-0.201
14:02:27:164,-0.101,-0.145
14:02:27:197,-0.038,-0.156
14:02:27:228,0.117,-0.163
14:02:27:259,0.023,-0.111
14:02:27:292,-0.063,-0.151
14:02:27:319,-0.057,-0.103
14:02:27:350,0.084,-0.118
14:02:27:381,0.055,-0.139
14:02:27:414,-0.079,-0.091
14:02:27:451,-0.013,-0.151
14:02:27:477,0.118,-0.152
14:02:27:508,-0.048,-0.147
14:02:27:541,-0.021,-0.134
14:02:27:574,-0.026,-0.13
14:02:27:600,0.094,-0.15
14:02:27:631,0.013,-0.097
14:02:27:664,-0.093,-0.147
14:02:27:697,0.002,-0.185
14:02:27:728,0.076,-0.164
14:02:27:759,-0.04,-0.12
14:02:27:792,-0.028,-0.165
14:02:27:819,0.024,-0.13
14:02:27:850,0.091,-0.157
14:02:27:886,-0.036,-0.086
14:02:27:913,-0.067,-0.108
14:02:27:945,0.01,-0.101
14:02:27:976,0.081,-0.124
14:02:28:007,-0.028,-0.132
14:02:28:040,0.008,-0.172
14:02:28:073,-0.002,-0.107
14:02:28:105,0.076,-0.142
14:02:28:131,0.016,-0.174
14:02:28:164,-0.003,-0.204
14:02:28:197,0.004,-0.1
14:02:28:228,0.024,-0.109
