Data info
File name: E:\Werk\jumat cipeles\CIPELES 26-11-2020 - AKSELEROMETER\kalibrasi jumat\kal 1_0116.dxd
Start time: 11/27/2020 14:24:16.330
Number of channels: 1
Sample rate: 100
Store type: always fast


Data1

Time (s)	AI 8 (um/m)
5.19	0.25184724
5.2	0.10857225
5.21	0.49362379
5.22	0.36825818
5.23	0.036934759
5.24	-0.016793361
5.25	0.099617571
5.26	0.18020974
5.27	0.47571442
5.28	0.81599253
5.29	0.27871129
5.3	0.18916443
5.31	0.52048784
5.32	0.80703783
5.33	0.93240345
5.34	0.27871129
5.35	-0.24066053
5.36	-0.21379647
5.37	0.22498319
5.38	0.64585346
5.39	0.4040769
5.4	0.072753504
5.41	0.31453004
5.42	0.090662882
5.43	-0.17797773
5.44	0.16230038
5.45	0.35930347
5.46	0.46675971
5.47	0.26080194
5.48	0.31453004
5.49	0.85181123
5.5	0.71749097
5.51	0.82494718
5.52	0.99508625
5.53	0.63689876
5.54	0.69958156
5.55	0.5652613
5.56	0.68167222
5.57	1.030905
5.58	0.60108
5.59	0.62794411
5.6	1.3532737
5.61	1.1025425
5.62	0.81599253
5.63	0.51153314
5.64	-0.29438865
5.65	0.019025387
5.66	0.46675971
5.67	0.64585346
5.68	0.36825818
5.69	0.30557537
5.7	0.59212536
5.71	0.25184724
5.72	0.44885036
5.73	0.82494718
5.74	0.17125507
5.75	-0.50930113
5.76	-0.14215897
5.77	0.5473519
5.78	0.83390188
5.79	0.43094099
5.8	0.10857225
5.81	0.78017378
5.82	0.98613155
5.83	0.19811912
5.84	0.38616756
5.85	0.43094099
5.86	-0.097385541
5.87	0.33243942
5.88	0.32348475
5.89	0.22498319
5.9	0.48466909
5.91	0.68167222
5.92	0.82494718
5.93	0.52048784
5.94	0.4040769
5.95	0.58317065
5.96	0.25184724
5.97	-0.33020741
5.98	-0.061566792
5.99	0.5473519
6	0.46675971
6.01	-0.15111366
6.02	-0.15111366
6.03	0.36825818
6.04	0.31453004
6.05	0.29662067
6.06	0.18020974
6.07	0.33243942
6.08	1.17418
6.09	1.1473159
6.1	0.45780504
6.11	0.74435502
6.12	0.69062692
6.13	0.20707381
6.14	0.94135815
6.15	0.93240345
6.16	0.32348475
6.17	0.67271751
6.18	0.70853627
6.19	0.98613155
6.2	1.3353643
6.21	0.6100347
6.22	0.38616756
6.23	0.3503488
6.24	0.019025387
6.25	0.144391
6.26	0.53839719
6.27	0.92344874
6.28	0.86972064
6.29	0.57421595
6.3	0.41303161
6.31	0.70853627
6.32	1.0398597
6.33	0.87867534
6.34	0.66376281
6.35	0.89658469
6.36	1.0846331
6.37	0.78912842
6.38	0.70853627
6.39	0.90553939
6.4	0.69958156
6.41	0.31453004
6.42	0.3503488
6.43	1.0398597
6.44	1.2279081
6.45	0.43989566
6.46	0.27871129
6.47	0.9682222
6.48	0.89658469
6.49	0.18020974
6.5	0.5563066
6.51	1.2010441
6.52	0.77121907
6.53	0.43094099
6.54	0.98613155
6.55	1.3174549
6.56	1.004041
6.57	0.75330973
6.58	0.44885036
6.59	0.76226437
6.6	1.4070019
6.61	0.77121907
6.62	0.43989566
6.63	0.95031279
6.64	1.5681862
6.65	1.8816003
6.66	1.0577691
6.67	0.62794411
6.68	0.97717685
6.69	0.63689876
6.7	0.72644562
6.71	1.371183
6.72	1.2189534
6.73	1.4159565
6.74	1.4786394
6.75	0.85181123
6.76	1.0129956
6.77	0.93240345
6.78	0.38616756
6.79	0.62794411
6.8	0.94135815
6.81	1.17418
6.82	1.1920893
6.83	0.86076593
6.84	1.2099987
6.85	1.4786394
6.86	1.3085003
6.87	1.4070019
6.88	1.5055034
6.89	1.0129956
6.9	0.52048784
6.91	0.99508625
6.92	0.81599253
6.93	0.32348475
6.94	1.0219502
6.95	1.4428205
6.96	1.004041
6.97	0.5563066
6.98	1.004041
6.99	1.2099987
7	0.28766599
7.01	0.26080194
7.02	0.52944255
7.03	0.51153314
7.04	1.2010441
7.05	1.4070019
7.06	1.0577691
7.07	0.65480816
7.08	0.43094099
7.09	0.9682222
7.1	1.2905909
7.11	1.17418
7.12	1.2637268
7.13	1.4159565
7.14	1.8278722
7.15	2.3741081
7.16	1.9353284
7.17	1.3622284
7.18	1.604005
7.19	1.487594
7.2	1.4249113
7.21	1.2368628
7.22	0.82494718
7.23	1.0488144
7.24	1.4428205
7.25	1.630869
7.26	1.3980471
7.27	1.3174549
7.28	1.7920533
